,lat,lon,alt,secs
264,41.2649994801804,1.99106933461546,27.0,0.0
265,41.2649965611725,1.99106944738543,27.1,0.1
266,41.2649939008183,1.99106950748876,27.3,0.2
267,41.2649910960661,1.99106957970169,27.4,0.3
268,41.264988369789,1.9910698523408,27.5,0.4
269,41.2649856614532,1.99106992606956,27.6,0.5
270,41.2649826228205,1.99107023689511,27.7,0.6
271,41.2649799681694,1.9910702901715,27.8,0.7
272,41.2649772235859,1.99107045474764,27.9,0.8
273,41.2649746225585,1.99107046990026,28.1,0.9
274,41.2649719713031,1.99107064254567,28.2,1.0
275,41.264969421009,1.99107064634093,28.3,1.1
276,41.2649669096988,1.99107074312629,28.5,1.2
277,41.2649644045738,1.99107072431512,28.6,1.3
278,41.2649617394272,1.99107058986185,28.7,1.4
279,41.2649592538263,1.99107054503648,28.8,1.5
280,41.2649567904009,1.99107034792689,28.9,1.6
281,41.2649543347285,1.99107029401224,29.0,1.7
282,41.2649519166607,1.99107022277378,29.2,1.8
283,41.2649494754922,1.99107018069517,29.3,1.9
284,41.2649469583693,1.99107016912697,29.4,2.0
285,41.2649445047658,1.99107013967079,29.5,2.1
286,41.264941915732,1.99106995633476,29.6,2.2
287,41.2649394481902,1.99106992110589,29.7,2.3
288,41.2649370097802,1.99106973123355,29.8,2.4
289,41.2649345469674,1.9910696963637,29.9,2.5
290,41.2649321212964,1.99106952131347,30.0,2.6
291,41.264929665774,1.99106950129424,30.1,2.7
292,41.2649272508374,1.99106951643549,30.2,2.8
293,41.264924802704,1.99106952572426,30.3,2.9
294,41.2649222206822,1.99106951251486,30.5,3.0
295,41.2649197599597,1.99106952209421,30.5,3.1
296,41.2649171823157,1.99106925795743,30.7,3.2
297,41.2649147130433,1.99106924119211,30.8,3.3
298,41.2649124583812,1.99106942489286,30.9,3.4
299,41.2649100078704,1.99106943158304,31.0,3.5
300,41.2649075715636,1.99106927235218,31.1,3.6
301,41.2649051207187,1.99106926767932,31.2,3.7
302,41.264902509458,1.99106930786599,31.3,3.8
303,41.2649000275152,1.99106931104013,31.4,3.9
304,41.2648974160489,1.9910691689963,31.6,4.0
305,41.2648949131599,1.99106915441352,31.6,4.1
306,41.2648924898063,1.99106902106009,31.8,4.2
307,41.2648899877483,1.99106899537642,31.9,4.3
308,41.2648876035627,1.99106918155606,32.0,4.4
309,41.2648851034752,1.99106916494458,32.1,4.5
310,41.2648825607585,1.99106916064212,32.2,4.6
311,41.2648800535004,1.99106914158595,32.3,4.7
312,41.2648776978684,1.99106947147342,32.4,4.8
313,41.2648752070588,1.99106948207284,32.5,4.9
314,41.2648726979245,1.99106930062305,32.6,5.0
315,41.2648701938447,1.99106928719139,32.8,5.1
316,41.2648676635672,1.99106929175029,32.9,5.2
317,41.264865139535,1.99106927582834,33.0,5.3
318,41.2648624380645,1.99106911651199,33.1,5.4
319,41.264859889411,1.99106908363664,33.2,5.5
320,41.2648574121457,1.99106895994806,33.3,5.6
321,41.2648548645116,1.99106890887134,33.4,5.7
322,41.2648524207259,1.99106898118115,33.5,5.8
323,41.2648498758161,1.9910689611505,33.6,5.9
324,41.2648472824689,1.99106890477405,33.7,6.0
325,41.2648447305514,1.99106890610185,33.8,6.1
326,41.2648421597352,1.99106903042296,33.9,6.2
327,41.2648396014096,1.99106901724771,34.0,6.3
328,41.2648370413535,1.99106883863581,34.1,6.4
329,41.2648344829936,1.99106876482158,34.2,6.5
330,41.2648319407567,1.99106885463185,34.3,6.6
331,41.2648293891133,1.99106880180564,34.5,6.7
332,41.2648267162821,1.99106882974029,34.6,6.8
333,41.2648241771293,1.99106879359964,34.7,6.9
334,41.2648214988153,1.99106876659958,34.8,7.0
335,41.2648189644428,1.99106874201573,34.9,7.1
336,41.2648165390074,1.99106871318072,35.0,7.2
337,41.2648140181879,1.99106870794368,35.1,7.3
338,41.2648116216573,1.99106849968188,35.2,7.4
339,41.2648091112894,1.99106848145202,35.3,7.5
340,41.2648066406892,1.99106874209554,35.4,7.6
341,41.2648041247013,1.99106875885518,35.5,7.7
342,41.2648013104644,1.99106861696522,35.6,7.8
343,41.2647987665655,1.99106860869652,35.7,7.9
344,41.2647963275601,1.99106876890755,35.8,8.0
345,41.264793797968,1.99106877264014,35.9,8.1
346,41.2647912171285,1.99106872409359,36.0,8.2
347,41.2647886822763,1.99106871466806,36.1,8.3
348,41.2647861078791,1.99106869987444,36.2,8.4
349,41.2647835687777,1.99106868412345,36.3,8.5
350,41.2647809942606,1.99106866950649,36.4,8.6
351,41.2647784566499,1.9910686608275,36.5,8.7
352,41.2647757363236,1.99106869238077,36.6,8.8
353,41.2647731923905,1.99106870249014,36.7,8.9
354,41.2647710331125,1.99106890706493,36.9,9.0
355,41.2647685387305,1.99106893698269,37.0,9.1
356,41.2647659168211,1.99106876801287,37.1,9.2
357,41.264763414489,1.99106877327269,37.2,9.3
358,41.264760810159,1.99106859168043,37.3,9.4
359,41.2647582937428,1.99106857918338,37.4,9.5
360,41.2647558208981,1.99106888573498,37.5,9.6
361,41.2647533153105,1.99106887795065,37.6,9.7
362,41.2647508405639,1.99106880964128,37.7,9.8
363,41.2647483407675,1.99106878339914,37.8,9.9
364,41.2647460279873,1.99106889822635,37.9,10.0
365,41.2647435383857,1.99106889488126,38.0,10.1
366,41.2647408479237,1.99106876065595,38.1,10.2
367,41.2647383335978,1.99106875185727,38.2,10.3
368,41.264735827719,1.9910688215742,38.3,10.4
369,41.2647333269975,1.99106882359151,38.4,10.5
370,41.2647306976863,1.99106868847151,38.5,10.6
371,41.2647281826922,1.99106867795186,38.6,10.7
372,41.2647257310763,1.9910686992761,38.7,10.8
373,41.2647232238782,1.99106869170265,38.8,10.9
374,41.2647208960373,1.99106885654095,38.9,11.0
375,41.264718402906,1.99106885662074,39.0,11.1
376,41.2647158900023,1.9910689902249,39.2,11.2
377,41.2647133836094,1.9910689906067,39.2,11.3
378,41.2647108536404,1.99106909001914,39.4,11.4
379,41.2647083318613,1.99106908000094,39.4,11.5
380,41.2647058037941,1.99106886385225,39.6,11.6
381,41.264703289057,1.9910688501984,39.7,11.7
382,41.2647009746149,1.99106935507342,39.8,11.8
383,41.2646984867437,1.99106940909065,39.9,11.9
384,41.264696021969,1.99106939849689,40.0,12.0
385,41.2646935418081,1.99106940974025,40.1,12.1
386,41.2646906907333,1.99106930705679,40.2,12.2
387,41.2646881749682,1.9910692718621,40.3,12.3
388,41.2646858937314,1.99106927991425,40.4,12.4
389,41.2646833926672,1.99106925372909,40.5,12.5
390,41.264680869466,1.99106923527125,40.7,12.6
391,41.2646783631931,1.99106919298748,40.8,12.7
392,41.2646758556865,1.99106921980518,40.9,12.8
393,41.2646733639089,1.99106916319509,41.0,12.9
394,41.2646708994426,1.99106917744165,41.1,13.0
395,41.264668429048,1.9910691524532,41.2,13.1
396,41.2646658120903,1.99106895035162,41.3,13.2
397,41.2646633269948,1.99106895027186,41.4,13.3
398,41.2646609891477,1.99106899611727,41.6,13.4
399,41.2646585134416,1.99106901737313,41.7,13.5
400,41.2646559416488,1.9910689716189,41.8,13.6
401,41.2646534480892,1.99106897771071,41.9,13.7
402,41.264651043283,1.99106881673036,42.0,13.8
403,41.2646485430412,1.9910688083819,42.1,13.9
404,41.2646461217522,1.99106911118952,42.2,14.0
405,41.2646436096195,1.99106913161908,42.3,14.1
406,41.2646414220364,1.99106909238977,42.4,14.2
407,41.264638924536,1.99106910087501,42.5,14.3
408,41.2646356301739,1.99106922182253,42.6,14.4
409,41.2646330583126,1.99106921169606,42.7,14.5
410,41.26463033091,1.9910689507334,42.8,14.6
411,41.2646277656967,1.99106888590589,42.9,14.7
412,41.2646253020185,1.99106899050408,43.0,14.8
413,41.2646227640822,1.99106895349726,43.1,14.9
414,41.2646204572817,1.99106931144474,43.3,15.0
415,41.2646179338064,1.99106931418577,43.4,15.1
416,41.2646153607799,1.99106921128007,43.5,15.2
417,41.2646128239402,1.99106920378639,43.6,15.3
418,41.2646102058517,1.99106923573286,43.7,15.4
419,41.2646076625354,1.99106923451905,43.8,15.5
420,41.2646050752878,1.99106924597898,43.9,15.6
421,41.2646025310462,1.99106925080001,44.0,15.7
422,41.2646001334363,1.99106911438643,44.1,15.8
423,41.2645975973161,1.99106912329337,44.2,15.9
424,41.2645948593249,1.99106901680324,44.3,16.0
425,41.2645923137469,1.99106902638264,44.4,16.1
426,41.264590079731,1.99106938281997,44.5,16.2
427,41.2645875590656,1.99106940927866,44.6,16.3
428,41.2645849630434,1.99106932516131,44.7,16.4
429,41.2645824192837,1.99106932660876,44.8,16.5
430,41.264579637087,1.99106907674132,44.9,16.6
431,41.2645770662195,1.99106904205382,44.9,16.7
432,41.2645744967226,1.99106918285535,45.0,16.8
433,41.2645719430917,1.99106916683652,45.2,16.9
434,41.2645695963693,1.99106886657619,45.3,17.0
435,41.2645670675825,1.99106883544463,45.4,17.1
436,41.2645643847622,1.99106909830492,45.5,17.2
437,41.2645618413773,1.99106910013987,45.6,17.3
438,41.2645592944286,1.99106899086882,45.7,17.4
439,41.2645567568007,1.99106897964823,45.8,17.5
440,41.2645541988521,1.99106885452361,45.9,17.6
441,41.2645516624236,1.9910688397471,46.0,17.7
442,41.2645491064967,1.99106903950655,46.1,17.8
443,41.2645465685947,1.99106905359925,46.2,17.9
444,41.2645440037582,1.99106923375545,46.3,18.0
445,41.2645414654792,1.99106926069853,46.4,18.1
446,41.2645388970446,1.99106922961824,46.5,18.2
447,41.2645363602392,1.99106924282763,46.6,18.3
448,41.2645336436995,1.99106887644051,46.7,18.4
449,41.2645310958941,1.99106888585467,46.8,18.5
450,41.2645288763735,1.99106940824725,46.9,18.6
451,41.2645263510477,1.9910694807508,47.0,18.7
452,41.2645237392987,1.99106961679396,47.1,18.8
453,41.2645211957768,1.99106966877678,47.2,18.9
454,41.2645187382325,1.99106982811021,47.3,19.0
455,41.2645161918664,1.99106984712079,47.5,19.1
456,41.2645135716875,1.99106959270015,47.6,19.2
457,41.2645110109974,1.99106956742677,47.7,19.3
458,41.2645084249835,1.99106943685426,47.8,19.4
459,41.2645058540131,1.99106939691263,47.9,19.5
460,41.2645034496181,1.99106955401221,48.0,19.6
461,41.2645008855013,1.99106952808349,48.1,19.7
462,41.2644981721828,1.9910695623721,48.2,19.8
463,41.2644956074148,1.99106955810953,48.3,19.9
464,41.2644927560659,1.99106945939232,48.4,20.0
465,41.2644901879398,1.99106944802927,48.5,20.1
466,41.2644879891169,1.99106935653221,48.6,20.2
467,41.2644854741742,1.99106932746355,48.7,20.3
468,41.2644829811629,1.9910695020465,48.9,20.4
469,41.2644804635474,1.99106947712073,49.0,20.5
