,lat,lon,alt,secs
140,41.2652466938469,1.97885419500341,26.1,0.0
141,41.2652469738068,1.97885428469964,26.3,0.1
142,41.2652470292021,1.97885433900981,26.4,0.2
143,41.2652472727684,1.97885454841558,26.5,0.3
144,41.2652473276977,1.97885459383088,26.6,0.4
145,41.2652469579767,1.97885420303347,26.6,0.5
146,41.2652469597002,1.97885419531092,26.6,0.6
147,41.2652465537816,1.97885411812498,26.6,0.7
148,41.2652465211898,1.97885411263325,26.6,0.8
149,41.2652464096527,1.97885378763983,26.6,0.9
150,41.2652463961488,1.97885371366469,26.6,1.0
151,41.2652461299093,1.9788538296386,26.5,1.1
152,41.2652461312043,1.97885376308321,26.5,1.2
153,41.265245655606,1.9788531825739,26.4,1.3
154,41.2652456649855,1.9788530920902,26.4,1.4
155,41.2652458538103,1.97885312309668,26.4,1.5
156,41.2652459136451,1.97885307307105,26.3,1.6
157,41.2652459846828,1.97885297016828,26.3,1.7
158,41.2652460586497,1.97885296038105,26.3,1.8
159,41.2652460332178,1.97885296144465,26.3,1.9
160,41.2652461133286,1.97885299784678,26.3,2.0
161,41.2652464444576,1.97885297352005,26.2,2.1
162,41.2652465438317,1.97885303321332,26.2,2.2
163,41.2652467792524,1.97885297245003,26.2,2.3
164,41.2652468550654,1.97885305897543,26.2,2.4
165,41.2652468807311,1.97885307665206,26.2,2.5
166,41.2652469117362,1.97885326121447,26.2,2.6
167,41.2652470942974,1.97885337525701,26.2,2.7
168,41.2652471075788,1.97885372370763,26.2,2.8
169,41.2652471943393,1.97885403003855,26.2,2.9
170,41.265247177692,1.97885463920173,26.2,3.0
171,41.2652473231067,1.97885536142122,26.2,3.1
172,41.2652472730234,1.97885634584992,26.2,3.2
173,41.2652472777923,1.97885730552443,26.2,3.3
174,41.2652471769939,1.97885870035705,26.2,3.4
175,41.2652470893243,1.97886022385035,26.2,3.5
176,41.265246934446,1.97886203226174,26.2,3.6
177,41.2652469431229,1.97886382980083,26.2,3.7
178,41.2652467545184,1.97886598987883,26.2,3.8
179,41.2652465481853,1.9788682424144,26.2,3.9
180,41.2652463134826,1.9788707016496,26.2,4.0
181,41.2652460781223,1.97887307759347,26.2,4.1
182,41.2652458204344,1.9788757168615,26.2,4.2
183,41.2652454165986,1.97887825943784,26.2,4.3
184,41.265245141959,1.9788809302649,26.2,4.4
185,41.2652450395151,1.97888339977896,26.2,4.5
186,41.2652447868786,1.97888596140582,26.2,4.6
