,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26524176,1.97890135,26.0,7.0,65.0,CurvaturePassed
1,Waypoint2,41.26406284600235,1.9789006061137058,36.0,10.0,34.0,CurvaturePassed
2,Waypoint3,41.263433320966165,1.9789002088966998,36.0,10.0,34.0,CurvaturePassed
3,Waypoint4,41.26343263203988,1.9807892744478184,36.0,10.0,34.0,CurvaturePassed
4,Waypoint5,41.26406215707302,1.9807896898758919,36.0,3.0,17.0,CurvaturePassed
5,Waypoint6,41.26438030506223,1.9807898998260498,16.0,0.0,0.2,LineStop
6,Hover10s,41.26438030506223,1.9807898998260498,16.0,2.0,0.2,LineStop
7,Waypoint7,41.26438030506223,1.9807898998260498,26.0,2.0,0.2,CurvaturePassed
8,Waypoint8,41.26406215707302,1.9807896898758919,66.0,10.0,14.0,CurvaturePassed
9,Waypoint9,41.263792360630255,1.9807895118348018,66.0,10.0,14.0,CurvaturePassed
10,Waypoint10,41.26379299970881,1.9790400226477878,66.0,10.0,14.0,CurvaturePassed
11,Waypoint11,41.26406279615281,1.9790401934607493,66.0,4.0,14.0,CurvaturePassed
12,Waypoint12,41.26524192,1.97904094,21.0,0.0,65.0,CurvaturePassed
