,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26500991,1.96874383,26.0,3.0,52.0,CurvaturePassed
1,Waypoint2,41.264066020887036,1.9687433812340025,76.0,5.0,39.0,CurvaturePassed
2,Waypoint3,41.26334656369747,1.9687430391769238,76.0,10.0,39.0,CurvaturePassed
3,Waypoint4,41.26334575300685,1.9716269195155298,76.0,5.0,39.0,CurvaturePassed
4,Waypoint5,41.2640652101972,1.9716272933454593,76.0,1.0,19.0,CurvaturePassed
5,Waypoint6,41.26441256341556,1.9716274738311765,16.0,0.0,0.2,LineStop
6,Hover10s,41.26441256341556,1.9716274738311765,16.0,2.0,0.2,LineStop
7,Waypoint7,41.26441256341556,1.9716274738311765,26.0,2.0,0.2,CurvaturePassed
8,Waypoint8,41.2640652101972,1.9716272933454593,66.0,5.0,14.0,CurvaturePassed
9,Waypoint9,41.263795413750834,1.9716271531592293,66.0,10.0,14.0,CurvaturePassed
10,Waypoint10,41.263796187549744,1.9688802803219307,66.0,5.0,14.0,CurvaturePassed
11,Waypoint11,41.26406598399585,1.9688804091593055,66.0,3.0,14.0,CurvaturePassed
12,Waypoint12,41.26501007,1.96888086,21.0,0.0,52.0,CurvaturePassed
